NoShowRatio,AppointmentData,DayOfTheWeek
0.35989717223650386,2014-06-12,4
0.26455906821963393,2015-06-12,5
0.25499231950844853,2014-08-12,2
0.26430976430976433,2015-08-12,3
0.2959349593495935,2014-09-12,5
0.2824675324675325,2014-01-13,1
0.22591943957968477,2015-01-13,2
0.3,2014-10-13,1
0.3052064631956912,2015-10-13,2
0.2775330396475771,2014-11-13,4
0.30244755244755245,2015-11-13,5
0.36666666666666664,2014-12-13,6
0.24165341812400637,2014-02-13,4
0.30212014134275617,2015-02-13,5
0.28917609046849757,2014-03-13,4
0.2873134328358209,2015-03-13,5
0.2782485875706215,2014-05-13,2
0.2930298719772404,2015-05-13,3
0.32656514382402707,2014-06-13,5
0.30701754385964913,2015-07-13,1
0.26176470588235295,2014-08-13,3
0.2937062937062937,2015-08-13,4
0.3333333333333333,2014-09-13,6
0.2732049036777583,2014-01-14,2
0.29411764705882354,2015-01-14,3
0.21805555555555556,2014-10-14,2
0.2826797385620915,2015-10-14,3
0.33539412673879443,2014-11-14,5
0.0,2015-11-14,6
0.3360258481421648,2015-12-14,1
0.2847222222222222,2014-02-14,5
0.3289902280130293,2014-03-14,5
0.35,2015-03-14,6
0.2672672672672673,2014-04-14,1
0.3115942028985507,2015-04-14,2
0.25840978593272174,2014-05-14,3
0.28594249201277955,2015-05-14,4
0.2857142857142857,2014-06-14,6
0.3234375,2014-07-14,1
0.30261136712749614,2015-07-14,2
0.30197268588770865,2014-08-14,4
0.30528375733855184,2015-08-14,5
0.31375579598145287,2015-09-14,1
0.2849557522123894,2014-01-15,3
0.2965009208103131,2015-01-15,4
0.3153526970954357,2014-10-15,3
0.2610759493670886,2015-10-15,4
0.34186746987951805,2014-12-15,1
0.28716216216216217,2015-12-15,2
0.3181818181818182,2014-02-15,6
0.23076923076923078,2014-03-15,6
0.23583460949464014,2014-04-15,2
0.5819444444444445,2015-04-15,3
0.2985294117647059,2014-05-15,4
0.3185689948892675,2015-05-15,5
0.30559345156889495,2015-06-15,1
0.2840909090909091,2014-07-15,2
0.26978998384491115,2015-07-15,3
0.3172043010752688,2014-08-15,5
1.0,2015-08-15,6
0.28551532033426186,2014-09-15,1
0.2935323383084577,2015-09-15,2
0.2560296846011132,2014-01-16,4
0.2834008097165992,2015-01-16,5
0.2868217054263566,2014-10-16,4
0.2924187725631769,2015-10-16,5
0.26580459770114945,2015-11-16,1
0.3055555555555556,2014-12-16,2
0.2835820895522388,2015-12-16,3
0.26753670473083196,2015-03-16,1
0.29848484848484846,2014-04-16,3
0.29394812680115273,2015-04-16,4
0.313915857605178,2014-05-16,5
0.2993103448275862,2014-06-16,1
0.26576576576576577,2015-06-16,2
0.27080394922425954,2014-07-16,3
0.3463414634146341,2015-07-16,4
0.5416666666666666,2014-08-16,6
0.26675977653631283,2014-09-16,2
0.26405451448040884,2015-09-16,3
0.2862523540489642,2014-01-17,5
0.2782462057335582,2014-10-17,5
0.5555555555555556,2015-10-17,6
0.32585949177877427,2014-11-17,1
0.2857142857142857,2015-11-17,2
0.3055141579731744,2014-12-17,3
0.33049403747870526,2015-12-17,4
0.282642089093702,2014-02-17,1
0.3434343434343434,2014-03-17,1
0.2755267423014587,2015-03-17,2
0.29042904290429045,2014-04-17,4
0.2912,2015-04-17,5
0.286783042394015,2014-06-17,2
0.2887323943661972,2015-06-17,3
0.31790123456790126,2014-07-17,4
0.3407707910750507,2015-07-17,5
0.2978723404255319,2015-08-17,1
0.2865583456425406,2014-09-17,3
0.27380952380952384,2015-09-17,4
0.3,2014-01-18,6
0.3511450381679389,2014-10-18,6
